IDENTIFIER	chrom	start	stop	symbol	is_refseq	refseq_id
10431726	15	93114323	93167341	Yaf2	true	NM_024189
10431732	15	93216541	93228753	Zcrb1	true	NM_026025
10431738	15	93329545	93426322	Prickle1	true	NM_001033217
10431749	15	94100594	94234689	Adamts20	true	NM_177431
10431792	15	94353071	94373921	Pus7l	true	NM_172437
10431802	15	94408379	94420289	Twf1	true	NM_008971
10431812	15	94905661	95358990	Nell2	true	NM_016743
10431836	15	94928500	94979353	LOC100043315	false	NA
10431839	15	95453994	95485202	Dbx2	true	NM_207533
10431845	15	95618287	95622073	Ano6	true	NM_175344
10431848	15	95883175	95909984	D030018L15Rik	false	NA
10431856	15	96242129	96291274	Srsf2ip	true	NM_028148
10431872	15	96402753	96403121	Slc38a1	true	NM_134086
10431874	15	96405106	96473344	Slc38a1	true	NM_001166456
10431894	15	96517823	96530129	Slc38a2	true	NM_175121
10431912	15	96597192	96597500	Slc38a2	false	NA
10431915	15	96825254	96886387	Slc38a4	true	NM_027052
10431935	15	97074556	97077718	Amigo2	true	NM_178114
10431943	15	97132945	97133405	10431943	false	NA
10431946	15	97254835	97255143	5830453K13Rik	false	NA
10431948	15	97505528	97536256	Rpap3	true	NM_028003
10431962	15	97541450	97561700	Endou	true	NM_001168693
10431974	15	97575384	97598103	Rapgef3	true	NM_001177810
10432006	15	97623110	97662102	Hdac7	true	NM_019572
10432032	15	97684858	97738727	Vdr	true	NM_009504
10432045	15	97805402	97835088	Col2a1	true	NM_031163
10432101	15	97871847	97923741	Senp1	true	NM_144851
10432122	15	97965068	97996056	Asb8	true	NM_001170711
10432129	15	98016444	98051408	Olfr288	true	NM_001011733
10432133	15	98057106	98058059	Olfr286	true	NM_001011779
10432135	15	98086190	98087733	H1fnt	true	NM_027304
10432139	15	98116019	98126561	Zfp641	true	NM_173769
10432150	15	98143020	98143979	Olfr285	true	NM_001011778
10432152	15	98170453	98171370	Olfr284	true	NM_146281
10432154	15	98208527	98209628	Olfr283	true	NM_147036
10432157	15	98310831	98313114	Lalba	true	NM_010679
10432162	15	98349239	98364669	2310037I24Rik	false	NA
10432176	15	98350147	98350284	Snora34	false	NA
10432178	15	98356777	98356913	Snora2b	false	NA
10432180	15	98373642	98398067	Ccnt1	true	NM_009833
10432190	15	98420404	98440509	Adcy6	true	NM_007405
10432215	15	98476225	98493315	Ddx23	true	NM_001080981
10432236	15	98499636	98507892	Rnd1	true	NM_172612
10432243	15	98554797	98558629	Fkbp11	true	NM_024169
10432256	15	98568057	98593594	Arf3	true	NM_007478
10432263	15	98590569	98592483	10432263	false	NA
10432267	15	98601147	98608581	Wnt10b	true	NM_011718
10432278	15	98634213	98638231	Ddn	true	NM_001013741
10432281	15	98643228	98661911	Prkag1	true	NM_016781
10432294	15	98662104	98663357	Mll2	true	NM_001033276
10432298	15	98664934	98697141	Mll2	true	NM_001033276
10432362	15	98708209	98711837	Rhebl1	true	NM_026967
10432372	15	98721586	98728971	Dhh	true	NM_007857
10432378	15	98734348	98748529	Lmbr1l	true	NM_029098
10432398	15	98761858	98764855	Tuba1b	true	NM_011654
10432404	15	98780268	98783966	Tuba1a	true	NM_011653
10432408	15	98915185	98918159	C1ql4	true	NM_001024702
10432411	15	99073248	99082367	Mcrs1	true	NM_016766
10432429	15	99085313	99085445	10432429	false	NA
10432431	15	99104169	99117461	Fam186b	true	NM_001081254
10432439	15	99147653	99200897	Fmnl3	true	NM_011711
10432471	15	99198460	99198566	10432471	false	NA
10432473	15	99252465	99288179	Nckap5l	true	NM_001001884
10432488	15	99300510	99305160	Bcdin3d	true	NM_029236
10432492	15	99327436	99358448	Faim2	true	NM_028224
10432509	X	NA	NA	10432509	false	NM_013840
10432511	15	99450722	99482062	Racgap1	true	NM_012025
10432527	15	99565312	99602946	Lass5	true	NM_028015
10432540	15	99608939	99705841	Lima1	true	NM_001113545
10432554	15	99633451	99633557	10432554	false	NA
10432556	15	99728718	99728987	10432556	false	NA
10432558	15	99746116	99746331	LOC100046692	false	NA
10432560	15	99748780	99762089	1700030F18Rik	true	NM_028180
10432566	15	99776153	99797378	10432566	false	NA
10432571	15	99803321	99803698	2310068J16Rik	false	NA
10432573	15	100218329	100254586	Slc11a2	true	NM_001146161
10432593	15	100310001	100325670	Csrnp2	true	NM_153407
10432601	15	100333227	100382412	Tcfcp2	true	NM_033476
10432619	15	100405749	100430415	Pou6f1	true	NM_010127
10432636	15	100451770	100467296	Smagp	true	NM_174992
10432640	15	100471976	100499924	Bin2	false	NA
10432652	15	100504852	100518349	Cela1	true	NM_033612
10432661	15	100522245	100559807	Galnt6	true	NM_001161767
10432675	15	100561043	100561282	I730030J21Rik	false	NA
10432677	15	100882896	100884857	Fignl2	false	NA
10432682	15	101180002	101200595	Krt80	true	NM_028770
10432695	15	101261485	101321879	Krt83	true	NM_001003668
10432711	15	101355454	101363207	Krt84	true	NM_008474
10432723	15	101371645	101381098	Krt82	true	NM_053249
10432734	15	101382787	101393381	4732456N10Rik	true	NM_177717
10432746	15	101393774	101404335	Krt75	true	NM_133357
10432756	15	101417758	101458619	Gm5414	true	NM_001003670
10432767	15	101473444	101477811	Gm5478	false	NA
10432774	15	101506454	101524669	Krt6b	true	NM_010669
10432780	15	101520354	101524736	Krt6a	true	NM_008476
10432785	15	101537501	101543322	Krt5	true	NM_027011
10432799	15	101564380	101573540	Krt71	true	NM_019956
10432810	15	101584783	101593947	Krt74	false	NA
10432820	15	101606895	101616889	Krt72-ps	true	NM_213728
10432831	15	101623739	101632763	Krt73	true	NM_212485
10432840	15	101641130	101648566	Krt2	true	NM_010668
10432852	15	101675859	101681225	Krt1	true	NM_008473
10432866	15	101690020	101700049	Krt77	true	NM_001003667
10432876	15	101714782	101723351	Krt76	true	NM_001033177
10432886	15	101748967	101755320	Krt4	true	NM_008475
10432897	15	101759763	101770755	Krt79	true	NM_146063
10432907	15	101776609	101784655	Krt78	true	NM_212487
10432918	15	101827138	101834773	Krt8	true	NM_031170
10432923	15	101946776	101966648	Spryd3	true	NM_001033277
10432939	15	102007429	102019846	Csad	true	NM_144942
10432957	15	102046426	102062366	Itgb7	true	NM_013566
10432972	15	102065371	102087914	Rarg	true	NM_011244
10432986	15	102168687	102181164	Aaas	true	NM_153416
10433003	15	102187041	102197269	Sp7	true	NM_130458
10433008	15	102328080	102347259	Map3k12	true	NM_001163643
10433027	15	102354118	102355052	Npff	true	NM_018787
10433032	15	102359067	102359456	Atf7	false	NA
10433034	15	102364652	102455852	Atf7	true	NM_146065
10433047	15	102458210	102458316	10433047	false	NA
10433049	15	102493299	102501579	Atp5g2	true	NM_026468
10433055	15	102502223	102502297	Mir688	false	NA
10433057	15	102537208	102552520	Calcoco1	true	NM_026192
10433073	15	102684819	102685031	Gm10831	false	NA
10433075	15	102888711	102889043	5730585A16Rik	false	NA
10433077	15	102983721	102997517	Smug1	true	NM_027885
10433088	15	103021977	103070247	Cbx5	true	NM_007626
10433096	15	103078646	103085859	Nfe2	true	NM_008685
10433101	15	103138666	103140878	Gpr84	true	NM_030720
10433104	15	103144318	103170515	Zfp385a	true	NM_013866
10433114	15	103174717	103197194	Itga5	true	NM_010577
10433145	15	103232892	103275235	Gtsf1	true	NM_028797
10433153	15	103269391	103278890	BC048502	false	NA
10433161	15	103276555	103277146	BC048502	false	NA
10433163	15	103360714	103368392	Ppp1r1a	true	NM_021391
10433172	15	103393193	103395509	Glycam1	true	NM_008134
10433177	15	103417372	103418799	10433177	false	NA
10433179	Un_random	4834600	4838180	Mucl1	true	NM_009268
10433185	Un_random	2674943	2678404	Spt1	true	NM_009267
10433190	16	3577935	3578392	10433190	false	NA
10433193	16	3592398	3593339	Olfr161	true	NM_146860
10433195	16	3601935	3602855	Olfr161	false	NA
10433197	16	3730510	3731025	Olfr161	false	NA
10433199	16	3744103	3750784	Zfp263	true	NM_148924
10433212	16	3838975	3839913	Olfr15	true	NM_008762
10433214	16	3847313	3854806	Zfp174	true	NM_001081217
10433219	16	3884683	3904766	Nat15	true	NM_029090
10433228	16	3909009	3941147	Cluap1	true	NM_029738
10433241	16	4037101	4040024	Dnase1	true	NM_010061
10433262	2	NA	NA	10433262	false	NM_013721
10433264	16	4594713	4615957	Glis2	true	NM_031184
10433274	16	4639960	4650796	Vasn	true	NM_139307
10433278	16	4684115	4707695	Dnaja3	true	NM_023646
10433292	16	4726389	4766249	Hmox2	true	NM_001136066
10433302	16	4835589	4852131	4930562C15Rik	true	NM_030192
10433311	16	4886252	4938296	Mgrn1	true	NM_029657
10433331	16	4939111	4941026	Nudt16l1	true	NM_025839
10433340	16	4964382	4978147	4930451G09Rik	false	NA
10433352	16	5050161	5086382	Ubn1	true	NM_026666
10433373	16	5147870	5183843	Sec14l5	true	NM_001127725
10433389	16	5233729	5245002	Alg1	true	NM_145362
10433403	16	5885091	7411619	Rbfox1	true	NM_021477
10433433	16	8470906	8490290	BC024814	false	NA
10433445	16	8513582	8621661	Abat	true	NM_172961
10433462	16	8637800	8657642	Pmm2	true	NM_016881
10433472	16	8830194	8856289	1810013L24Rik	true	NM_001081400
10433478	16	10045054	10045823	10433478	false	NA
10433480	16	10170321	10175004	Rpl39l	true	NM_026594
10433484	16	10193015	10251628	Atf7ip2	true	NM_153123
10433492	16	10242113	10243144	Atf7ip2	true	NM_153123
10433494	16	10412041	10424511	Nubp1	true	NM_011955
10433507	16	10480152	10527657	Ciita	true	NM_007575
10433536	16	10545480	10744964	Clec16a	true	NM_177562
10433562	15	NA	NA	10433562	false	NM_009083
10433564	16	10835181	10893059	A630055G03Rik	true	NM_001162932
10433573	16	10994485	10994726	10433573	false	NA
10433575	16	11036039	11036458	Gm10832	false	NA
10433578	16	11061038	11075078	Snn	true	NM_009223
10433584	16	11313902	11320167	Tnfrsf17	true	NM_011608
10433589	16	11347955	11403919	Rundc2a	true	NM_001163498
10433597	16	11405741	11755565	Snx29	true	NM_028964
10433614	16	11901457	11930687	Gm9961	false	NA
10433618	16	11984551	11985237	Shisa9	true	NM_028277
10433620	16	13109829	13148827	Ercc4	true	NM_015769
10433633	16	13265171	13333015	Mkl2	true	NM_181860
10433639	16	13358732	13412796	Mkl2	true	NM_153588
10433656	16	13415590	13415982	Mkl2	true	NM_153588
10433658	16	13453933	13454019	Mir365-1	false	NA
10433660	16	13672081	13703695	Bfar	true	NM_025976
10433672	16	13780792	13814934	Rrn3	true	NM_001039521
10433691	16	13819370	13835543	Ntan1	true	NM_010946
10433702	16	13930315	13949471	Mpv17l	true	NM_033564
10433709	16	13986699	14101587	2900011O08Rik	true	NM_144518
10433719	16	14159719	14159785	Mir484	false	NA
10433721	16	14163399	14207713	Nde1	true	NM_023317
10433735	16	14361653	14474968	Abcc1	true	NM_008576
10433769	16	14502265	14507354	10433769	false	NA
10433773	16	14589302	14621379	A630010A05Rik	false	NA
10433776	16	14705952	14709478	Snai2	true	NM_011415
10433782	16	14906730	14925972	Efcab1	true	NM_025769
10433792	16	15426632	15427299	10433792	false	NA
10433797	16	15637979	15842328	Prkdc	true	NM_011159
10433885	16	15887379	15889638	Cebpd	true	NM_007679
10433887	16	16213438	16272805	Pkp2	true	NM_026163
10433902	15	NA	NA	10433902	false	NM_009083
10433904	16	16303075	16309721	Yars2	true	NM_198246
10433910	16	16870984	16893085	Top3b	true	NM_011624
10433929	16	16903414	16927455	Ppm1f	true	NM_176833
10433937	16	16968702	16969164	10433937	false	NA
10433940	16	16983475	17047546	Mapk1	true	NM_011949
10433953	16	17070316	17086781	Ypel1	true	NM_023249
10433963	16	17147072	17148936	Ydjc	true	NM_026940
10433971	16	17209078	17214014	Rimbp3	true	NM_001033338
10433973	16	17233680	17263523	Hic2	true	NM_178922
10433977	16	17276435	17278753	Tmem191c	true	NM_177473
10433988	16	17331508	17343667	Serpind1	true	NM_008223
10433996	16	17406096	17430920	Snap29	true	NM_023348
10434003	16	17452080	17486348	Crkl	true	NM_007764
10434007	16	17489784	17507576	Aifm3	true	NM_175178
10434029	16	17509061	17526424	Lztr1	true	NM_025808
10434052	16	17562093	17572104	P2rx6	true	NM_011028
10434067	16	17619447	17644921	Smpd4	true	NM_029945
10434089	16	17646711	17649508	Ccdc74a	true	NM_001166164
10434094	16	17759764	17793475	Klhl22	true	NM_145479
10434105	16	17797375	17808385	Scarf2	true	NM_153790
10434117	16	17833212	17835112	B830017H08Rik	false	NA
10434121	16	17894296	17898015	Tssk1	true	NM_009435
10434124	16	17898730	17900117	Tssk2	true	NM_009436
10434128	16	17980519	17981366	Vpreb2	true	NM_016983
10434131	16	18029010	18029210	AA066038	false	NA
10434133	16	18052953	18071456	Dgcr6	true	NM_010047
10434144	16	18127742	18152501	Rtn4r	true	NM_022982
10434148	16	18248772	18254865	Trmt2a	true	NM_001081000
10434165	16	18348367	18407169	Arvcf	true	NM_033474
10434189	16	18355721	18355846	10434189	false	NA
10434191	16	18426510	18479163	Txnrd2	true	NM_013711
10434211	16	18498806	18566772	Gnb1l	true	NM_023120
10434224	16	18501234	18502269	Gnb1l	false	NA
10434226	16	18592085	18609844	10434226	false	NA
10434229	16	18776940	18778355	Cldn5	true	NM_013805
10434233	16	18812402	18835348	Ufd1l	true	NM_011672
10434248	16	18836684	18840036	2510002D24Rik	true	NM_001033164
10434252	16	18876843	18970402	Hira	true	NM_010435
10434281	16	19028325	19028747	LOC635992	false	NA
10434283	16	19123825	19123910	LOC635992	false	NA
10434285	16	19319758	19319843	10434285	false	NA
10434287	16	19486886	19487925	Olfr166	true	NM_147068
10434289	16	19723405	19724071	10434289	false	NA
10434291	16	19760327	19772556	B3gnt5	true	NM_001159407
10434302	16	20097627	20127817	Klhl24	true	NM_029436
10434313	16	20141181	20232646	Yeats2	true	NM_001145930
10434348	16	20498890	20509396	Eif2b5	true	NM_172265
10434366	16	20517055	20532260	Dvl3	true	NM_007889
10434384	16	20535577	20544128	Ap2m1	true	NM_009679
10434396	16	20548713	20561452	Abcf3	true	NM_013852
10434418	16	20590163	20598535	Vwa5b2	true	NM_182636
10434436	16	20602848	20605450	Vwa5b2	true	NM_001144953
10434441	16	20611674	20619080	Ece2	true	NM_025462
10434446	16	20629924	20645992	Ece2	true	NM_139293
10434467	16	20651759	20663487	Psmd2	true	NM_134101
10434481	16	20672822	20692956	Eif4g1	true	NM_145941
10434516	16	20695099	20703109	Fam131a	false	NA
10434523	16	20717915	20722338	Polr2h	true	NM_145632
10434528	16	20733200	20742455	Chrd	true	NM_009893
10434552	16	20745392	20745544	10434552	false	NA
10434554	16	20820451	20820779	10434554	false	NA
10434556	16	21079886	21080285	10434556	false	NA
10434559	16	21204867	21223377	Ephb3	true	NM_010143
10434577	16	21423242	21644749	Vps8	true	NM_001081366
10434629	16	21892042	21928121	Map3k13	true	NM_172821
10434643	11	NA	NA	10434643	false	NM_011971
10434645	16	22009582	22047954	Senp2	true	NM_029457
10434664	17	NA	NA	10434664	false	NM_027244
10434666	16	22224317	22224424	10434666	false	NA
10434668	11	NA	NA	10434668	false	NM_133706
10434670	16	22236992	22237376	10434670	false	NA
10434672	3	NA	NA	10434672	false	NM_010318
10434675	16	22857937	22879707	Dnajb11	true	NM_001190804
10434689	16	22892115	22899516	Ahsg	true	NM_013465
10434698	16	22920310	22939830	Fetub	true	NM_021564
10434709	16	22951184	22961729	Hrg	true	NM_053176
10434717	16	23034101	23034602	10434717	false	NA
10434719	16	23058409	23082141	Kng1	true	NM_001102411
10434733	16	23107829	23114020	Eif4a2	true	NM_013506
10434741	16	23110456	23110580	10434741	false	NA
10434743	16	23111374	23111502	10434743	false	NA
10434745	16	23111691	23111828	10434745	false	NA
10434747	16	23146609	23158101	Adipoq	true	NM_009605
10434754	16	23175361	23224519	BC106179	false	NA
10434758	16	23224835	23360421	St6gal1	true	NM_145933
10434773	16	23429206	23434033	Rtp1	true	NM_001004151
10434778	16	23610013	23614308	Rtp4	true	NM_023386
10434782	16	24393576	24981130	Lpp	true	NM_178665
10434802	16	24683733	24685294	Lpp	false	NA
10434804	16	24827941	24828026	Mir28	false	NA
10434806	16	24987939	24988953	Lpp	true	NM_178665
10434808	16	25286903	25422430	Tprg	true	NM_175165
10434815	16	25684376	25892174	Trp63	true	NM_001127259
10434835	16	26105400	26105879	Leprel1	true	NM_173379
10434837	16	26463246	26482853	Cldn16	true	NM_053241
10434845	16	26581794	26725350	Il1rap	true	NM_008364
10434860	16	27307575	27351295	Ostn	true	NM_198112
10434869	16	27389069	27448909	Ccdc50	true	NM_026202
10434878	16	27925839	27926060	Gm10823	false	NA
10434880	16	29209781	29230616	Hrasls	true	NM_013751
10434888	16	29579428	29652576	Opa1	true	NM_133752
10434925	16	30065443	30067882	Hes1	true	NM_008235
10434930	16	30200009	30200371	1700025H01Rik	false	NA
10434932	16	30599809	30602841	Fam43a	true	NM_177632
10434934	16	31422380	31457585	Bdh1	true	NM_175177
10434942	16	31663529	31873436	Dlg1	true	NM_007862
10434975	16	31878896	31899106	Mfi2	true	NM_013900
10434993	16	31934040	31946132	Pigz	true	NM_172822
10434998	16	31948701	31958433	Ncbp2	true	NM_026554
10435004	16	32099888	32108143	1500031L02Rik	true	NM_025892
10435009	16	32179886	32187030	Bex6	true	NM_001033539
10435015	16	32247372	32257165	Wdr53	true	NM_026898
10435019	16	32271554	32274865	2310010M20Rik	true	NM_183283
10435024	16	32277575	32300992	Rnf168	true	NM_027355
10435031	16	32332354	32386841	Ubxn7	true	NM_177633
10435043	16	32405932	32408088	Tm4sf19	true	NM_001160402
10435048	16	32419788	32429184	Tctex1d2	true	NM_025329
10435057	16	32431082	32472114	Pcyt1a	true	NM_009981
10435067	16	32496367	32507303	Zdhhc19	true	NM_199309
10435075	16	32609103	32632876	Tfrc	true	NM_011638
10435094	16	32644729	32683579	Tnk2	true	NM_016788
10435112	16	32736361	32782470	Muc4	true	NM_080457
10435149	16	32877908	32908961	Fyttd1	true	NM_027226
10435162	16	32914197	33012576	Lrch3	true	NM_001081255
10435185	16	33001989	33002107	10435185	false	NA
10435187	16	33056574	33060261	Rpl35a	true	NM_021338
10435193	16	33062607	33125745	Lmln	true	NM_172823
10435212	16	33185157	33243352	Osbpl11	true	NM_176840
10435226	16	33251530	33300355	Snx4	true	NM_080557
10435237	16	33380922	33500460	Zfp148	true	NM_011749
10435251	16	33518424	33663494	Slc12a8	true	NM_134251
10435266	16	33684552	33722999	Heg1	true	NM_175256
10435271	16	33725542	33771662	Heg1	true	NM_175256
10435288	16	33794123	33820013	Muc13	true	NM_010739
10435305	16	33829751	33949232	Itgb5	true	NM_001145884
10435321	16	34651297	34678696	Ropn1	true	NM_030744
10435329	16	34690796	34725280	Ccdc14	true	NM_172824
10435345	16	34785007	35001449	Mylk	true	NM_139300
10435383	16	35022507	35109261	Ptplb	true	NM_023587
10435388	16	35154963	35305824	Adcy5	true	NM_001012765
10435413	16	35382131	35382332	10435413	false	NA
10435415	16	35541448	35664692	Sema5b	true	NM_013661
10435443	16	35770493	35828112	Hspbap1	true	NM_175111
10435453	16	35892583	35893259	Gm10237	false	NA
10435455	16	35920553	35920885	Gm10247	false	NA
10435457	16	35938556	35972691	Parp9	true	NM_030253
10435470	16	35983449	36036248	Kpna1	true	NM_008465
10435487	16	36041276	36043071	Wdr5b	true	NM_027113
10435489	16	36071771	36092197	Ccdc58	true	NM_198645
10435494	16	36136025	36137820	10435494	false	NA
10435497	16	36156897	36162038	Stfa2l1	true	NM_173869
10435501	16	36180220	36285457	Stfa1	true	NM_001082543
10435504	16	36210453	36217874	Gm5416	true	NM_001082542
10435508	16	36221554	36257530	2010005H15Rik	true	NM_029733
10435514	16	36694067	36726929	Ildr1	true	NM_134109
10435525	16	36828493	36872807	Iqcb1	true	NM_177128
10435543	16	36875288	36932040	Golgb1	true	NM_030035
10435565	16	36935099	36963300	Hcls1	true	NM_008225
10435581	16	37010793	37095483	Polq	true	NM_029977
10435617	16	37539980	37572471	Rabl3	true	NM_001042499
10435626	16	37580307	37632106	Hgd	true	NM_013547
10435641	16	37777141	37836602	Fstl1	true	NM_008047
10435654	16	37868475	37888943	Lrrc58	true	NM_177093
10435661	16	37916582	38007619	Gpr156	true	NM_153394
10435674	16	37980173	37980312	10435674	false	NA
10435676	16	38089087	38246165	Gsk3b	true	NM_019827
10435693	16	38347085	38352849	Cox17	true	NM_001017429
10435697	16	38362295	38378302	Popdc2	true	NM_001081984
10435704	16	38459013	38487015	Cd80	true	NM_009855
10435712	16	38493726	38496406	Cd80	false	NA
10435714	16	38562954	38591497	Tmem39a	true	NM_026407
10435724	16	38742326	38769162	B4galt4	true	NM_019804
10435733	16	38902458	39027274	Igsf11	true	NM_170599
10435743	16	39934703	39935089	10435743	false	NA
10435745	16	40070104	40073263	Gm16498	false	NA
10435748	16	41207083	41209508	D930030D11Rik	false	NA
10435752	16	41533455	42174355	Lsamp	true	NM_175548
10435765	16	41540558	41541217	10435765	false	NA
10435767	16	41714680	41715038	10435767	false	NA
10435769	16	42907786	43619332	Zbtb20	true	NM_019778
10435784	4	NA	NA	10435784	false	NM_001030274
10435787	16	43126346	43126452	10435787	false	NA
10435789	16	43620990	43624068	Zbtb20	false	NA
10435791	16	43640765	43640853	Zbtb20	false	NA
10435793	16	43762334	43823045	Drd3	true	NM_007877
10435802	16	43890072	43963573	2610015P09Rik	true	NM_027801
10435821	16	44139922	44163479	Naa50	true	NM_028108
10435832	16	44173510	44224150	Gm608	true	NM_001029889
10435841	16	44347234	44388499	Ccdc52	true	NM_144550
10435862	16	44401549	44481542	Wdr52	true	NM_001033247
10435897	16	44724412	44737245	BC027231	false	NA
10435907	16	44765900	44795091	Cd200r1	true	NM_021325
10435920	16	44811926	44842063	Cd200r4	true	NM_207244
10435930	16	44867210	44915953	Cd200r2	true	NM_206535
10435937	16	44943805	44981470	Cd200r3	true	NM_029018
10435948	16	45094166	45128037	Ccdc80	true	NM_026439
10435961	16	45128687	45130391	Gm10808	false	NA
10435963	16	45158942	45188651	Atg3	true	NM_026402
10435980	14	NA	NA	10435980	false	NM_207634
10435982	16	45224450	45253008	Btla	true	NM_001037719
10435991	16	45411694	45412462	10435991	false	NA
10435993	16	45535422	45607118	Slc9a10	true	NM_198106
10436024	16	45610536	45622980	Gcet2	true	NM_001159297
10436037	16	47074328	47076144	10436037	false	NA
10436041	16	47212482	47213011	10436041	false	NA
10436043	16	48072803	48074300	10436043	false	NA
10436046	16	48104562	48105128	10436046	false	NA
10436048	4	NA	NA	10436048	false	NM_011034
10436050	16	48283848	48294405	Dppa4	true	NM_028610
10436053	16	48310387	48319626	Dppa2	true	NM_028615
10436057	16	48431350	48631018	Morc1	true	NM_010816
10436087	16	48816969	48819017	Retnlb	true	NM_023881
10436095	16	48842664	48844574	Retnla	true	NM_020509
10436100	16	48872758	48874611	Retnlg	true	NM_181596
10436106	16	48994301	49019815	C330027C09Rik	true	NM_172616
10436128	16	49057590	49198271	Myh15	true	NM_001166210
10436169	16	49699366	49765239	Ift57	true	NM_028680
10436182	16	49855767	49911816	Cd47	true	NM_010581
10436196	16	49913363	49915122	Cd47	false	NA
10436198	16	49922844	49923189	10436198	false	NA
10436200	16	50111174	50112160	10436200	false	NA
10436203	16	50140533	50144084	Gm4416	false	NA
10436206	16	50783522	50784203	1700116B05Rik	false	NA
10436209	16	52033136	52208154	Cblb	true	NM_001033238
10436228	16	54354575	54354706	10436228	false	NA
10436230	16	54972544	54972650	10436230	false	NA
10436232	16	55966506	55971547	Rpl24	true	NM_024218
10436239	16	55974185	56007428	Zbtb11	true	NM_173026
10436251	16	56070676	56070779	10436251	false	NA
10436253	16	56075522	56190125	Senp7	true	NM_025483
10436282	16	56204426	56273869	Impg2	true	NM_174876
10436304	16	56478013	56689430	Abi3bp	true	NM_001014423
10436348	16	57121826	57156818	Tomm70a	true	NM_138599
10436363	16	57353390	57515803	Filip1l	true	NM_001040397
10436369	16	57549355	57572903	Filip1l	true	NM_001177871
10436372	16	58408556	58469858	Dcbld2	true	NM_028523
10436392	16	58670405	58680474	Cpox	true	NM_007757
10436402	16	58728131	58734353	Cldnd1	true	NM_171826
10436409	16	58995230	59000442	Olfr183	true	NM_146485
10436412	16	59148655	59149649	Olfr195	true	NM_146998
10436414	16	59302978	59303901	Olfr203	true	NM_146486
10436416	16	59407218	59461504	Gabrr3	true	NM_001081190
10436426	5	NA	NA	10436426	false	NM_178751
10436428	16	59471668	59492328	Mina	true	NM_025910
10436442	6	NA	NA	10436442	false	NM_019643
10436444	16	62570862	62570965	10436444	false	NA
10436446	11	NA	NA	10436446	false	NM_001177874
10436449	16	62808175	62808242	10436449	false	NA
10436451	16	62814502	62824172	Stx19	true	NM_026588
10436456	16	62854160	62929166	Pros1	true	NM_011173
10436471	16	64851854	64859323	Cggbp1	true	NM_178647
10436476	16	65520847	65535866	Pou1f1	true	NM_008849
10436487	16	65815878	65860948	Vgll3	true	NM_028572
10436498	16	66892756	66894219	10436498	false	NA
10436500	16	70314308	70569961	Gbe1	true	NM_028803
10436517	16	71664033	71664163	10436517	false	NA
10436519	16	72145919	73046338	Robo1	true	NM_019413
10436550	16	73974686	73974783	10436550	false	NA
10436552	16	75593089	75603070	Rbm11	true	NM_198302
10436561	16	77014168	77117025	Usp25	true	NM_013918
10436588	16	77237220	77237425	2810055G20Rik	false	NA
10436590	16	77329721	77489278	2810055G20Rik	false	NA
10436594	16	77401092	77403380	10436594	false	NA
10436596	16	77594073	77596319	2810055G20Rik	false	NA
10436598	16	77597262	77597423	2810055G20Rik	false	NA
10436600	16	77599181	77599245	Mir99a	false	NA
10436602	16	77599902	77599995	Mirlet7c-1	false	NA
10436604	16	77646518	77646588	Mir125b-2	false	NA
10436606	16	78117394	78118370	10436606	false	NA
10436608	16	78301936	78360030	Cxadr	true	NM_009988
10436621	16	78624992	78625098	10436621	false	NA
10436623	16	78931193	78951978	Chodl	true	NM_139134
10436634	16	80949900	80950214	Gm16509	false	NA
10436636	16	81201016	81624530	Ncam2	true	NM_001113208
10436658	16	81263224	81263418	7120432I05Rik	false	NA
10436662	16	84714385	84714449	Mir155	false	NA
10436664	16	84737584	84737721	10436664	false	NA
10436666	16	84774368	84825012	Jam2	true	NM_023844
10436678	16	84835362	84864024	Gabpa	true	NM_008065
10436692	16	84979046	84979216	Gm10791	false	NA
10436694	5	NA	NA	10436694	false	NM_007475
10436698	16	87354430	87368894	N6amt1	true	NM_026366
10436708	16	87455256	87483760	Usp16	true	NM_024258
10436727	16	87553575	87595581	ORF63	true	NM_144854
10436734	16	87699194	87738638	Bach1	true	NM_007520
10436742	16	87784320	87793846	2810407A14Rik	false	NA
10436746	16	88729084	88729856	Krtap13-1	true	NM_183189
10436748	16	88759092	88760037	2310034C09Rik	true	NM_054100
10436750	16	88778141	88778781	Gm5965	false	NA
10436752	16	88820460	88830089	Krtap15	true	NM_013713
10436758	16	89015572	89016091	Gm10229	false	NA
10436760	16	89031944	89032537	Krtap6-1	true	NM_010672
10436764	16	89084336	89084779	Krtap6-3	false	NA
10436766	16	89141189	89141344	Krtap20-2	true	NM_001163615
10436768	16	89151384	89151548	Gm10061	false	NA
10436770	16	89158161	89158652	Gm9789	false	NA
10436773	16	89169735	89169893	Gm9789	false	NA
10436775	16	89174980	89175437	1110057P08Rik	false	NA
10436779	16	90090227	90090735	10436779	false	NA
10436781	16	90143609	90143791	Gm10789	false	NA
10436783	16	90220987	90226574	Sod1	true	NM_011434
10436788	16	90386630	90499798	Hunk	true	NM_015755
10436800	16	90554409	90555129	1110008E08Rik	false	NA
10436802	16	90602741	90602862	10436802	false	NA
10436804	16	90738569	90750030	Mrap	true	NM_029844
10436809	16	90826964	90905354	4931408A02Rik	false	NA
10436823	16	91225795	91228922	Olig2	true	NM_016967
10436828	16	91270014	91272184	Olig1	true	NM_016968
10436830	16	91373144	91405834	Ifnar2	true	NM_010509
